episode,reward,moves,checks,mates
0,-4.41,150,3,0
1,-2.32,150,1,0
2,-1.5,39,0,0
3,-3.74,126,1,0
4,-1.52,44,0,0
5,-3.97,150,0,0
6,-4.53,141,1,0
7,-3.94,150,0,0
8,-2.03,63,2,0
9,-3.29,85,0,0
10,-3.3,138,0,0
11,-3.22,101,0,0
12,-2.4,54,0,0
13,-3.63,150,1,0
14,-1.63,52,0,0
15,-1.63,46,0,0
16,-1.28,60,1,0
17,-4.31,112,0,0
18,-3.57,150,0,0
19,-3.68,90,0,0
20,-3.47,150,4,0
21,-1.39,40,0,0
22,-4.04,98,0,0
23,-1.14,30,0,0
24,-1.73,35,0,0
25,-2.58,103,0,0
26,-2.56,53,0,0
27,-1.86,82,1,0
28,-2.1,60,0,0
29,-2.56,115,0,0
30,-1.19,55,0,0
31,-1.54,36,0,0
32,-3.08,75,0,0
33,-2.0,48,0,0
34,-1.17,7,0,0
35,-2.16,85,2,0
36,-2.37,71,2,0
37,-4.33,150,1,0
38,-1.07,2,0,0
39,-3.04,139,0,0
40,-3.79,150,0,0
41,-1.38,34,0,0
42,-3.2,72,2,0
43,-0.57,48,0,0
44,-1.12,13,0,0
45,-1.08,49,0,0
46,-1.15,6,0,0
47,-3.49,87,0,0
48,-4.12,134,0,0
49,-2.96,68,0,0
50,-2.69,52,0,0
51,-3.59,84,0,0
52,-3.96,150,0,0
53,-2.89,150,2,0
54,-4.55,144,0,0
55,-5.03,150,0,0
56,-1.08,3,0,0
57,-6.04,150,0,0
58,-2.4,58,0,0
59,-3.05,150,0,0
60,-1.8,35,2,0
61,-2.86,92,1,0
62,-1.85,113,1,0
63,-3.72,150,0,0
64,-4.16,81,0,0
65,-3.96,138,0,0
66,-2.31,58,0,0
67,-3.89,150,0,0
68,-4.16,150,1,0
69,-4.91,146,0,0
70,-3.26,108,1,0
71,-3.19,82,0,0
72,-1.94,45,0,0
73,-1.91,89,1,0
74,-2.05,49,0,0
75,-3.62,86,1,0
76,-2.46,103,0,0
77,-1.7,41,0,0
78,-1.89,55,0,0
79,-3.99,96,0,0
80,-2.79,150,2,0
81,-1.49,38,0,0
82,-1.65,38,0,0
83,-4.88,150,0,0
84,-1.11,6,0,0
85,-5.11,150,0,0
86,-4.39,141,1,0
87,-2.71,72,0,0
88,-1.9,67,1,0
89,-2.96,150,0,0
90,-2.79,62,1,0
91,-1.81,42,0,0
92,-3.81,124,0,0
